2021-11-02 03:17:08,521 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2021-11-02 03:17:08,574 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2021-11-02 03:17:08,587 INFO  Logger.cs: 73 - Commit version 1.6.0-1-g15f4949
2021-11-02 03:17:08,588 INFO  Logger.cs: 74 - Build version 1.6.7594.29634
2021-11-02 03:17:08,591 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2021-11-02 03:17:08,592 INFO  SwAddin.cs: 197 - Setting up callbacks
2021-11-02 03:17:08,593 INFO  SwAddin.cs: 201 - Setting up command manager
2021-11-02 03:17:08,593 INFO  SwAddin.cs: 204 - Adding command manager
2021-11-02 03:17:08,596 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2021-11-02 03:17:08,596 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2021-11-02 03:17:08,597 INFO  SwAddin.cs: 210 - Adding event handlers
2021-11-02 03:17:08,599 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2021-11-02 03:26:31,151 INFO  SwAddin.cs: 351 - Part export called
2021-11-02 03:26:35,311 INFO  SwAddin.cs: 362 - Saving part
2021-11-02 03:26:35,368 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from camera_end_effector_mount.SLDPRT
2021-11-02 03:26:35,375 INFO  ExportHelperExtension.cs: 1136 - Found 37 in camera_end_effector_mount.SLDPRT
2021-11-02 03:26:35,375 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in camera_end_effector_mount.SLDPRT
2021-11-02 03:26:35,376 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from camera_end_effector_mount.SLDPRT
2021-11-02 03:26:35,376 INFO  ExportHelperExtension.cs: 1136 - Found 37 in camera_end_effector_mount.SLDPRT
2021-11-02 03:26:35,377 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in camera_end_effector_mount.SLDPRT
2021-11-02 03:26:35,377 INFO  SwAddin.cs: 367 - Showing part
2021-11-02 03:32:12,560 INFO  SwAddin.cs: 294 - Assembly export called for file Assem1
2021-11-02 03:32:12,561 INFO  SwAddin.cs: 299 - Save is required
2021-11-02 03:32:12,561 INFO  SwAddin.cs: 313 - Saving assembly
2021-11-02 03:32:12,561 INFO  SwAddin.cs: 316 - Opening property manager
2021-11-02 03:32:12,564 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Assem1
2021-11-02 03:32:12,565 INFO  ExportHelperExtension.cs: 1136 - Found 23 in Assem1
2021-11-02 03:32:12,566 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Assem1
2021-11-02 03:32:12,566 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2021-11-02 03:32:12,567 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2021-11-02 03:32:12,568 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from camera_end_effector_mount-1
2021-11-02 03:32:12,568 INFO  ExportHelperExtension.cs: 1136 - Found 37 in camera_end_effector_mount-1
2021-11-02 03:32:12,569 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in camera_end_effector_mount-1
2021-11-02 03:32:12,569 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Assem1
2021-11-02 03:32:12,569 INFO  ExportHelperExtension.cs: 1136 - Found 23 in Assem1
2021-11-02 03:32:12,570 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in Assem1
2021-11-02 03:32:12,570 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2021-11-02 03:32:12,570 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2021-11-02 03:32:12,570 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from camera_end_effector_mount-1
2021-11-02 03:32:12,571 INFO  ExportHelperExtension.cs: 1136 - Found 37 in camera_end_effector_mount-1
2021-11-02 03:32:12,571 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in camera_end_effector_mount-1
2021-11-02 03:32:12,791 INFO  SwAddin.cs: 339 - Loading config tree
2021-11-02 03:32:12,795 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2021-11-02 03:32:12,799 INFO  SwAddin.cs: 344 - Showing property manager
2021-11-02 03:32:21,681 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-11-02 03:32:24,176 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-11-02 03:32:25,681 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-11-02 03:32:38,420 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-11-02 03:33:29,082 INFO  ExportPropertyManager.cs: 422 - Configuration saved
2021-11-02 03:33:31,570 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Assem1
2021-11-02 03:33:31,575 INFO  ExportHelperExtension.cs: 1136 - Found 26 in Assem1
2021-11-02 03:33:31,576 INFO  ExportHelperExtension.cs: 1145 - Found 1 features of type [CoordSys] in Assem1
2021-11-02 03:33:31,576 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2021-11-02 03:33:31,577 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2021-11-02 03:33:31,577 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from camera_end_effector_mount-1
2021-11-02 03:33:31,578 INFO  ExportHelperExtension.cs: 1136 - Found 37 in camera_end_effector_mount-1
2021-11-02 03:33:31,578 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in camera_end_effector_mount-1
2021-11-02 03:33:31,578 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Assem1
2021-11-02 03:33:31,579 INFO  ExportHelperExtension.cs: 1136 - Found 26 in Assem1
2021-11-02 03:33:31,579 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in Assem1
2021-11-02 03:33:31,580 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2021-11-02 03:33:31,580 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2021-11-02 03:33:31,580 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from camera_end_effector_mount-1
2021-11-02 03:33:31,581 INFO  ExportHelperExtension.cs: 1136 - Found 37 in camera_end_effector_mount-1
2021-11-02 03:33:31,581 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in camera_end_effector_mount-1
2021-11-02 03:33:31,665 INFO  ExportPropertyManager.cs: 1142 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-11-02 03:34:30,843 INFO  AssemblyExportForm.cs: 253 - Completing URDF export
2021-11-02 03:34:30,853 INFO  ConfigurationSerialization.cs: 276 - URDF Configuration found
